Neighborhood,Niche URL,Niche Price
Collier Hills North,https://www.niche.com/places-to-live/n/collier-hills-north-atlanta-ga/,"$198,726"
Oakcliff,https://www.niche.com/places-to-live/n/oakcliff-atlanta-ga/,0
Fort McPherson,https://www.niche.com/places-to-live/n/fort-mcpherson-atlanta-ga/,"$107,834"
Fairway Acres,https://www.niche.com/places-to-live/n/fairway-acres-atlanta-ga/,"$143,700"
Westover Plantation,https://www.niche.com/places-to-live/n/westover-plantation-atlanta-ga/,"$306,200"
Sherwood Forest,https://www.niche.com/places-to-live/n/sherwood-forest-atlanta-ga/,"$846,200"
Boulder Park,https://www.niche.com/places-to-live/n/boulder-park-atlanta-ga/,"$102,728"
Argonne Forest,https://www.niche.com/places-to-live/n/argonne-forest-atlanta-ga/,"$1,111,400"
Ridgecrest Forest,https://www.niche.com/places-to-live/n/ridgecrest-forest-atlanta-ga/,"$190,600"
Niskey Lake,https://www.niche.com/places-to-live/n/niskey-lake-atlanta-ga/,"$210,318"
Niskey Cove,https://www.niche.com/places-to-live/n/niskey-cove-atlanta-ga/,0
Memorial Park,https://www.niche.com/places-to-live/n/memorial-park-atlanta-ga/,"$652,247"
Whitewater Creek,https://www.niche.com/places-to-live/n/whitewater-creek-atlanta-ga/,"$903,297"
Brentwood,https://www.niche.com/places-to-live/n/brentwood-atlanta-ga/,"$123,462"
Woodfield,https://www.niche.com/places-to-live/n/woodfield-atlanta-ga/,"$790,942"
Bolton Hills,https://www.niche.com/places-to-live/n/bolton-hills-atlanta-ga/,"$164,800"
Chalet Woods,https://www.niche.com/places-to-live/n/chalet-woods-atlanta-ga/,"$87,200"
Margaret Mitchell,https://www.niche.com/places-to-live/n/margaret-mitchell-atlanta-ga/,"$1,035,536"
Georgia Tech,https://www.niche.com/places-to-live/n/georgia-tech-atlanta-ga/,"$90,531"
Hanover West,https://www.niche.com/places-to-live/n/hanover-west-atlanta-ga/,"$256,159"
Ivan Hill,https://www.niche.com/places-to-live/n/ivan-hill-atlanta-ga/,"$78,278"
Elmco Estates,https://www.niche.com/places-to-live/n/elmco-estates-atlanta-ga/,"$84,300"
Castlewood,https://www.niche.com/places-to-live/n/castlewood-atlanta-ga/,"$793,093"
Huntington,https://www.niche.com/places-to-live/n/huntington-atlanta-ga/,"$214,000"
Pleasant Hill,https://www.niche.com/places-to-live/n/pleasant-hill-atlanta-ga/,"$492,500"
Ben Hill Forest,https://www.niche.com/places-to-live/n/ben-hill-forest-atlanta-ga/,"$123,462"
Englewood Manor,https://www.niche.com/places-to-live/n/englewood-manor-atlanta-ga/,"$93,800"
State Facility,https://www.niche.com/places-to-live/n/state-facility-atlanta-ga/,"$160,200"
Regency Trace,https://www.niche.com/places-to-live/n/regency-trace-atlanta-ga/,"$127,800"
Mt. Gilead Woods,https://www.niche.com/places-to-live/n/mt-gilead-woods-atlanta-ga/,"$94,600"
Chattahoochee,https://www.niche.com/places-to-live/n/chattahoochee-atlanta-ga/,"$164,800"
Mt. Paran Parkway,https://www.niche.com/places-to-live/n/mt-paran-parkway-atlanta-ga/,0
Wildwood Forest,https://www.niche.com/places-to-live/n/wildwood-forest-atlanta-ga/,"$143,700"
Horseshoe Community,https://www.niche.com/places-to-live/n/horseshoe-community-atlanta-ga/,"$116,300"
Old Fairburn Village,https://www.niche.com/places-to-live/n/old-fairburn-village-atlanta-ga/,"$193,900"
Edmund Park,https://www.niche.com/places-to-live/n/edmund-park-atlanta-ga/,0
